Date,Close,High,Low,Open,Volume,Ticker
2010-01-04,36.38437271118164,36.51905779879162,36.17913759293913,36.18555011999863,18556900,EFA
2010-01-05,36.41643142700195,36.62166649557819,36.24326387915419,36.47415394295121,14352800,EFA
2010-01-06,36.570369720458984,36.6152647520179,36.345892116068654,36.35230709006034,11888100,EFA
2010-01-07,36.429264068603516,36.45491906744691,36.153478947525414,36.326646519825296,10906600,EFA
2010-01-08,36.71788024902344,36.75636275101953,36.39078754514118,36.49340510386852,12826500,EFA
2010-01-11,37.01931381225586,37.10910385434374,36.85897375235745,37.089863830066385,12387500,EFA
2010-01-12,36.58319091796875,36.80125351079167,36.300990829259504,36.62808594179153,19029700,EFA
2010-01-13,36.89104080200195,37.00648583937619,36.51905069344161,36.73711326997127,15446600,EFA
2010-01-14,37.173240661621094,37.198895659603686,36.8782155246071,36.8782155246071,13362600,EFA
2010-01-15,36.589603424072266,36.94876606105164,36.41643585516767,36.8846285652007,19281700,EFA
2010-01-19,36.948753356933594,36.99364836529532,36.45490581836017,36.48056080787957,17507700,EFA
2010-01-20,36.00596618652344,36.17272123154156,35.672458543082534,36.153478759211566,24510100,EFA
2010-01-21,35.23633575439453,36.03162364246571,35.00544809004694,35.94183358745351,22979100,EFA
2010-01-22,34.55008316040039,35.306888608358,34.49877560197049,35.08241345286028,27432500,EFA
2010-01-25,34.97336959838867,35.26198216677577,34.88357956524489,35.185019630737514,20242700,EFA
2010-01-26,34.774539947509766,35.06956496002682,34.575717466938244,34.665507475391756,22135300,EFA
2010-01-27,34.73606872558594,34.768136246628316,34.23580854685878,34.5564886504726,27156000,EFA
2010-01-28,34.15243911743164,34.76173194781292,33.895893995188274,34.75531697412925,26142600,EFA
2010-01-29,33.65858840942383,34.3961537365465,33.56238583192656,34.19733116183286,28917200,EFA
2010-02-01,34.27428436279297,34.325594347403296,33.65857922703737,34.120359302151435,23123800,EFA
2010-02-02,34.84510803222656,34.92848311388637,34.40898281048484,34.518012892622515,19720200,EFA
2010-02-03,34.479530334472656,34.76173044606812,34.299950224617724,34.62063039027039,20225900,EFA
2010-02-04,33.074954986572266,33.863827969580136,33.05571495785852,33.825347912152644,32202200,EFA
2010-02-05,33.01722717285156,33.01722717285156,32.02953174692894,32.89536959949565,43046100,EFA
2010-02-08,32.363037109375,32.99798482320529,32.35662458347961,32.69013220172838,19238000,EFA
2010-02-09,33.382808685302734,33.68424885941554,32.76710328194515,33.08778348535169,30811800,EFA
2010-02-10,33.17115783691406,33.31867042271975,32.84406269076599,33.2032253648552,23502500,EFA
2010-02-11,33.47900390625,33.53672642379817,32.805576165918104,33.055706259761806,19397300,EFA
2010-02-12,33.190399169921875,33.254534228326946,32.74144642129946,32.90178651390777,18994900,EFA
2010-02-16,33.92795944213867,33.99850701707397,33.228876646255664,33.344321691197464,19592800,EFA
2010-02-17,33.97285842895508,34.16526604410667,33.83175836943265,34.08188851378927,19682000,EFA
2010-02-18,34.16525650024414,34.21656404154084,33.87023140965217,33.87023140965217,13747600,EFA
2010-02-19,33.953617095947266,34.03699462906684,33.59445685468567,33.69065944219689,16069000,EFA
2010-02-22,34.017757415771484,34.19092502353566,33.93437987575261,34.139615015340716,14422100,EFA
2010-02-23,33.53672409057617,34.017744221146934,33.42769158875078,33.863816702862536,18038800,EFA
2010-02-24,33.748374938964844,33.947197492932624,33.49824483833788,33.5880348799378,15789800,EFA
2010-02-25,33.543148040771484,33.54956301479054,33.010820187189125,33.081370221824365,18544400,EFA
2010-02-26,33.748374938964844,33.8958874996783,33.293009758510884,33.47258984171072,19714200,EFA
2010-03-01,34.01133346557617,34.07547095889344,33.73554836079992,33.825340851444096,14774400,EFA
