Year,Month,GEPU_current,GEPU_ppp
2010,9,132.5702002,126.1406265
2010,10,122.7594041,115.6302331
2010,11,127.4579074,121.3387129
2010,12,130.3170063,131.2517668
2011,1,110.4194831,116.6106611
2011,2,93.86893767,92.79805467
2011,3,127.204764,125.6686199
2011,4,115.8291336,117.7171865
2011,5,89.05446192,85.72500595
2011,6,117.3585428,112.2044968
2011,7,156.6529319,155.1899964
2011,8,214.7608692,211.3622407
2011,9,190.3666692,187.421577
2011,10,166.2317785,171.2623734
2011,11,197.9289274,204.2545456
2011,12,182.5580258,192.0011856
2012,1,161.7919484,168.1775769
2012,2,142.4597882,148.9208902
2012,3,134.5359004,148.4862784
2012,4,127.4005966,131.3400237
2012,5,160.2411362,165.2034313
2012,6,189.0171714,195.6396555
2012,7,160.098718,162.9944447
2012,8,122.8513769,126.8439116
2012,9,151.9695312,152.4794796
2012,10,159.4238779,162.7474602
2012,11,173.6180263,171.1889586
2012,12,168.38461,165.929571
2013,1,167.7715657,165.2853005
2013,2,125.4416848,125.7027281
2013,3,141.4432827,138.6977079
2013,4,133.4705953,134.831225
2013,5,106.1854923,104.9423856
2013,6,119.3632891,117.4661036
2013,7,108.3023736,107.6030234
2013,8,118.2673132,124.6835185
2013,9,132.5801733,131.7962707
2013,10,158.5994635,151.8865885
2013,11,96.2911384,96.30969898
2013,12,119.2405482,121.483117
2014,1,110.9289926,112.8325467
2014,2,98.14128831,95.82880423
2014,3,113.4951036,111.5375971
2014,4,101.6226343,105.2811602
2014,5,104.0887574,106.2476734
2014,6,86.59427635,89.12758955
2014,7,93.13379454,97.0213028
2014,8,99.41232318,107.3553583
2014,9,123.4526822,129.3732848
2014,10,119.1751718,122.3764679
2014,11,113.9488466,119.8494451
2014,12,111.4333376,113.5771071
2015,1,136.0846466,142.3429571
2015,2,112.9482991,118.6433116
2015,3,103.8660369,106.5704326
2015,4,102.0558797,100.7781311
2015,5,106.3162558,103.0167938
2015,6,117.2827665,115.2157997
2015,7,128.5320696,127.9398518
2015,8,130.7488629,129.7241934
2015,9,174.294055,177.8527277
2015,10,125.1166568,125.6989282
2015,11,101.775468,100.5058171
2015,12,112.9731868,116.4398131
2016,1,149.4968683,146.2552592
2016,2,155.7549332,155.1059748
2016,3,166.148391,169.2030261
2016,4,144.5425029,147.720751
2016,5,132.7701249,130.61137
2016,6,243.3265962,235.4400138
2016,7,236.5105757,227.8355777
2016,8,143.4643699,146.2365557
2016,9,149.0268065,154.1268664
2016,10,134.0942272,131.2061327
2016,11,251.3067527,241.6100799
2016,12,222.3177816,231.3081781
2017,1,265.7668386,275.0516119
2017,2,202.0173169,207.7343637
2017,3,235.3637091,245.638993
2017,4,181.1793316,181.4251059
2017,5,165.9119857,167.3052347
2017,6,169.6049249,170.6324695
2017,7,149.185626,150.1197818
2017,8,140.9360126,141.0001109
2017,9,157.3244253,160.6867705
2017,10,150.4502219,155.6692823
2017,11,155.7511214,160.514921
2017,12,149.4217117,154.7809869
2018,1,151.5712547,146.4034964
2018,2,124.7360468,127.0015463
2018,3,168.4137769,162.8332299
2018,4,157.6067119,161.9548066
2018,5,175.8582569,175.381604
2018,6,178.2974151,177.4698445
2018,7,223.6696373,228.6737987
2018,8,179.8973921,188.281433
2018,9,195.8893721,205.5127536
2018,10,221.673031,231.6560941
2018,11,247.1760506,260.2667083
2018,12,270.764323,274.4906469
2019,1,263.2140312,263.3339936
2019,2,205.5912633,213.4487022
2019,3,250.9100788,259.8876873
2019,4,191.5062859,202.0860581
2019,5,241.3804267,255.4608365
2019,6,316.4326939,337.496209
2019,7,262.0932077,270.9663918
2019,8,317.6934073,320.7232085
2019,9,273.7217033,290.0708961
2019,10,258.3067631,273.2163639
2019,11,253.3512559,267.1749614
2019,12,265.984334,281.6077304
2020,1,227.8868493,238.8762647
2020,2,230.4305529,235.4542898
2020,3,356.8697664,354.6128643
2020,4,358.8345391,366.9789701
2020,5,431.5715934,436.6586096
2020,6,328.6484213,342.0448108
2020,7,352.167167,350.060334
